ID,SMILES,LogP
36,N1C(=NC(=C1)C=2SC=CC=2)C3=CC=C(C=C3)OCC(O)CNCCC4=CC=NC=C4,3.626
37,O=C1N(C2=CC=CC=C2)N(C3=CC=CC=C3)C(=O)C1CCS(=O)C4=CC=CC=C4,3.764
38,C1(C(C(OC(C(NC(=O)C2N(CC(C2)CCC)CC)C(C)O)C1O)SC)O)O,2.048
39,C1(C(O)C(OC(C(NC(=O)C2N(CC(C2)CCC)CC)C(C)O)C1O)SCC)O,3.201
40,C1(C(C(OC(C(NC(=O)C2N(C)CC(C2)CCCCC)C(C)O)C1O)SC)O)O,2.512
41,C(C)(=O)OC1C(OC(COC(C)=O)C(C1OC(=O)C)OC(=O)C)OC(=O)C,2.135
42,C1C(C)N(C(CC1)C)C(=O)COC(=O)C=2C(C3=C(C=CC=C3Cl)F)=NOC=2C,5.769
43,CC(C)(C)OC(=O)C1=CC=C(CON=CC=2C(C)=NN(C)C=2OC3=CC=CC=C3)C=C1,6.798
44,ClC1(Cl)C2(C(=C(C1(Cl)C3C2C4OC4C3Cl)Cl)Cl)Cl,6.589
45,O=S(=O)(C)N1CCC(CC1)C(NC2=C(C(OCCC)=O)C(C)=C(C(N)=O)S2)=O,5.413
46,C1(=CC(C#N)=CC(=C1OC(CCCCCCC)=O)Br)Br,6.425
47,C=1C(=CC=CC=1)C(NC(=O)CSC=2N=C3C(=NN=2)C4=CC=CC=C4N3CCC)C,5.661
48,CC(C)C(C(NC(CC=1C=CC=CC=1)C(=O)O)=O)NC(=O)C(CC=2C=CC=CC=2)N,0.607
49,CC(C)C=1C(=C(C=CC=1)C(C)C)NC(C2C(=O)OC(CCCCCCC)C2)=O,5.908
50,N1=CN(C(=C1)CC(C(CC)C(=O)OCC=2C=CC=CC=2)COC(C3=CC=CC=C3)=O)C,5.802
51,C=1C=CC=C2C=1C(=O)C3(C2=O)C4=C(N(C(C4C(O3)C=5C=CC=CC=5)=O)C6=CC=CC=C6)O,5.224
52,C1(C(N2C(=O)C=3C(=CC=CC=3C2=O)N)=O)=CC(=NC=4C=CC=CC1=4)C=5C(Cl)=CC=CC=5,6.344
53,C1(C(C(OC(C(NC(=O)C2N(CC(CCCC)C2)CC)C(C)O)C1O)SC)O)O,3.252
54,FC(F)(F)C1CC(NC=2N1N=C(C(NC3=CC=CC(Cl)=C3)=O)C=2)C4=CC=CC=C4,7.313
55,C1COCCN1C2=NON=C2OCC(NC3=CC(OC)=C(OC)C=C3C(=O)OC)=O,5.746
56,O(C)C1N(C2CC(N=[N+]=[N-])C(O2)CO)C(=O)NC(C1(I)C)=O,2.727
57,O=S(=O)(C1C(=NC=2C=CC=CC=2)C(C3=CC=CC=C3C1=O)=O)C=4C=CC=CC=4,4.81
58,O=S(=O)(C=1C(OC)=CC=C(C=1)C(NC2=CC=CC(F)=C2)=O)N3CCOCC3,4.936
59,C(C1C2(C)CCC3C(CC(C4CC(O)CCC34C)O)C2CC1)(C)CCC(=O)O,4.184
60,FC(F)OC=1C=CC(=CC=1)C=2N(N)C(=NN=2)SCC(=O)NC3=C(C=C(C=C3C)C)C,5.53
61,C1C(N(C(=O)S1)CCNC(CSC=2OC(C=3SC=CC=3)=NN=2)=O)=O,3.519
62,CN(C)C(N(C)C)=S(C1=CC=C(Cl)C(Cl)=C1)I,1.756
63,FC(F)(F)COC=1C(=CC(=CC=1)OCC(F)(F)F)C(NCC2CCCCN2)=O,5.214
64,CC1(C)C=C(C)C2=C3C(=CC(OC)=C2)C(=C4C(=O)NC(=NC(C)=O)S4)C(=O)N13,5.914
65,C1C(COC(=O)N)=C(C(=O)O)N2C(C(NC(=O)C(C3=CC=CO3)=NOC)C2=O)S1,1.587
66,C(CCCC)(CC)COC(=O)C=1C(C(OCC(CCCC)CC)=O)=CC=CC=1,9.734
67,N1C(=NC(=C1)C=2SC=CC=2)C3=CC=C(C=C3)OCC(O)CNCCOCC,3.735
68,C1C2C(CN1C=3C(=CC=4C(=O)C(=CN(C=5C(F)=CC(=CC=5)F)C=4N=3)C(=O)O)F)C2N,1.983
69,CCC(C(=O)N1CCN(C(=O)C(CC)C=2C=CC=CC=2)CCC1)C=3C=CC=CC=3,6.123
70,FC(F)(F)C=1C=C(N(C(C)C=2SC(=NC3=NN(C=C3)CC=4C=CC=CC=4)NN=2)N=1)C,6.016
71,C1=CC=C(C(C)NC(=O)CSC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4)C=C1,5.785
72,CC1(C)OC2(C(O1)CC3C4C(F)(C(O)CC23C)C5(C(=CC4)CC(=O)C=C5)C)C(=O)CO,4.087
73,C1C(OC(C1O)COC(=O)CC)N2C=C(C(NC2=O)=O)I,2.618
74,C(=O)(C)OC1CC(C(=CC(OC(=O)C(C)=CC)C2C(=C)C(OC2C=C1C)=O)C)O,2.817
75,C1(C(C(OC(C(C(C)Cl)NC(=O)C2N(C)CC(C2)CCC)C1O)SC)O)O,4.02
76,OC1=C2C(=COC(=O)N)C3(N(C2=C(O)C(=C1N=C4SC=CN4)C)CC5C3N5)OC,1.81
77,OCC(C1(OC(C)=O)CCC2C3CC=C4C(C)(C=CC(=O)C4)C3C(=O)CC12C)=O,3.981
78,C=1C=CC=CC=1OCC(CNCCOC=2C=CC(OCC(NCCC)=O)=CC=2)O,4.788
79,C1(=CC=C2C(=O)C(C3=CC=C(C=C3)Cl)=C(C)OC2=C1)OCC(=O)OCC=C,6.458
80,C=1C(C2(NCC(=O)N(C=3C2=CC=CC=3)C)C(C(O)=O)OC4=NC(=CC(C)=N4)C)=CC=CC=1,-0.28
81,FC(F)(F)C1=CC(=CC([N+]([O-])=O)=C1N=C2C(=CC([N+]([O-])=O)=CN2)Cl)[N+]([O-])=O,4.238
82,CN(C)C(N(C)C)=S(C1=CC=C(C=C1Cl)Cl)I,1.574
83,C=1C=CC=CC=1N(C=2SC=C(N=2)C=CC(NC3=CC=C4C(OCO4)=C3)=O)C(=O)C,5.42
84,CC(C)OC=1C(Br)=C(SC=1C(N=C2NNN=N2)=O)Br,3.349
85,CC1(C)CC(=O)C2C(C=3C(=NN(C=3N=C2C1)C4=NC(=CC(C)=N4)C)C)C5=CC=CO5,5.621
86,C1(C(C(OC(C(NC(=O)C2N(C)CC(C2)CCCC)C(C)O)C1O)SC)O)O,1.943
87,COC1=CC=2C(NC(C)=O)CCC3=C(C=2C=CC1=O)C(OC)=C(C(OC)=C3)OC,2.023
88,CC(C)NCC(COC=1C=CC(OCCOCCC2=CC=C(C=C2)F)=CC=1)O,4.985
89,C=1N(C)C(CC(COC(=O)CCC)C(C(=O)OCC2=CC=C(C)C=C2)CC)=CN=1,6.671
90,C1CCCCC1NC(CSC=2N(C(=O)C=3C(=CC=CC=3)N=2)C=4C=CC(Cl)=CC=4)=O,6.59
91,FC(F)(F)C1=CC=C(S(=O)(=O)C2=CC=C(C(=C2)C(=O)OC)[N+]([O-])=O)C(Cl)=C1,5.023
92,CC(C)(CCCCCC)C1=CC=C(C2C(CCC(C2)O)CCCCO)C(=C1)O,8.428
93,C(C)OC(CC(C(=O)OCC)NC(=O)CCCCSC=1C2=C(N=CN2)N=CN=1)=O,2.404
94,CC(C)(C)OC(NC(CC1=CC=CC=C1)C(=O)NC(C(O)=O)CC=2C=CC(=CC=2)O)=O,4.194
95,C1(=O)C(C2N1C(C(=COC(C)=O)CS2)C(=O)O)NC(CC3=CC=CS3)=O,1.344
96,CC1(C)SC2C(NC(C=3C(=NOC=3C)C=4C(Cl)=CC=CC=4)=O)C(=O)N2C1C(=O)O,4.249
97,C(NC=1C=CC(=CC=1)C(OC)=O)(CSC=2N(CC)C(=NN=2)C3=CC=CC=C3)=O,5.598
98,CC1(C)C(N2C(=O)C(C2S1)NC(=O)C(C=3C=CC=CC=3)NC(=O)C)C(O)=O,2.106
99,C(C1=CC=CS1)=C(C2=CC=CS2)C(=O)OCC(NC=3C(=CC(C)=CC=3)C)=O,5.205
100,FC(F)(F)C1=CC=C(OC2=CC=C(C(C(=O)OCC(O)=O)=C2)[N+](=O)[O-])C(=C1)Cl,6.574
101,C1=NN=CN1N=CC=2C=CC(N3C(C4=CC=CC=C4)=CC(=N3)C5=CC=CC=C5)=CC=2,6.757
102,C1CN(CCN1C(C=2C=CC(=CC=2)N3C(=O)C4CCCCC4=C3O)=O)C(OCC)=O,5.104
103,C(CCC)N(CCCC)CCS(=O)(=O)C1=CC(OC)=C(OC)C(OC)=C1,4.991
104,CC(C)CC(C(=O)NC(C)C(NCC(NC(CC1=CC=CC=C1)C(O)=O)=O)=O)N,-0.006
105,C=1(C(=O)OC2=CC=C(Br)C=C2C=1)C(N(C)CC=3C(=NN(C=3)CC)C)=O,4.576
106,C1=C(Br)C(=CC(=C1)Br)C2N(C)C(NC(OC)=O)=NC2,4.24
107,C1(=CC(=CC=C1OC)CCNCC(COC2=CC=C(C=C2)C3=NC(Cl)=CN3)O)OC,4.012
108,CC(C)CNC(=O)C1(O)C2(C)CC(O)C3(C(C2CC1C)CC=C4CC(=O)C=CC34C)F,4.58
109,C1(=O)C(C2N1C(C(=COC(C)=O)CS2)C(=O)O)NC(CBr)=O,0.489
110,C=1(C=C(C(=CC=1Cl)Cl)Cl)OC=2C(Cl)=C(Cl)C(Cl)=C(Cl)C=2,9.314
111,O=S(=O)(OC=1C(=CC=CC=1)OCC)NC(=O)N=C2N=C(OC)C=C(OC)N2,4.81
112,CC(C)C=1C(=CC=C(C(C)C)C=1NC(=O)CN(CC(=O)O)CC(=O)O)Br,1.66
113,O=C(O)C=1N2C(C(NC(C(OC(CCCC)=O)C=3C=CC=CC=3)=O)C2=O)SCC=1C,3.224
114,O(C(C1(C(C)CN(CC1)CCC=2C=CC=CC=2)N(C3=CC=CC=C3)C(CC)=O)=O)C,5.698
115,CN(C)CCOC1=CC=C(CNC(=O)C=2C=C(OC)C(OC)=C(OC)C=2)C=C1,3.843
116,O=S(=O)(C=1C(=CC=CC=1)C)N2C(NC(=O)C2(C3=CC=CC=C3)C4=CC=CC=C4)=O,5.319
117,C(C(C(C(N1C(CCC1)C(=O)NCC(=O)NC(C(O)=O)C(CC)C)=O)N)C)C,3.058
118,C1=C(Br)C=C(Br)C(=C1Br)NC=2NCCN=2,3.855
119,C1(C(C(=O)OC)CC2C1(CC(C3(F)C4(C=CC(=O)CC4=CCC23)C)O)C)C(=O)CO,2.999
120,C1(C(C(C(C(=O)OCC)=C(O1)C)C2=CC=CC(=C2)I)C#N)=N,6.77
121,C(C(C=1C=C(C)C(=CC=1)C)=O)OC2=CC=CC(N3C(O)=C4C5CC(C4C3=O)CC5)=C2,5.886
122,BrC(Br)C(NC(C(O)C=1C=CC(=CC=1)[N+](=O)[O-])CO)=O,2.158
123,CN(C(N(CCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O)CCC)=O)N=O,2.947
124,ClC1(Cl)CC2(C(C1CC2(Cl)Cl)(C)C(Cl)Cl)C(Cl)Cl,7.473
125,C1CN(CCN1C(=O)OC2N(C3=CC=C(C=N3)Cl)C(=O)C=4C2=NC=CN=4)C,3.571
126,FC(F)(F)C=1C=C(C(SC2=CC=C(C(C(OC)=O)=C2)[N+]([O-])=O)=CC=1)Cl,6.006
127,C=1(N=C2N(C(=O)C=C(C(O)NC=3C=CC=CC=3)S2)CC=4C=CC=CC=4)C=CC(F)=CC=1,7.489
128,C1CC(CCN1CCCN2C3=CC(=CC=C3SC=4C2=CC=CC=4)Cl)C(=O)N,5.565
129,O=NN(CCCl)C(=O)NC1C(OC(C)=O)C(OC(=O)C)C(OC(=O)C)CO1,2.478
130,NC(N)=NCCCC(NC(C(NC(=O)C(N)C(CC)C)CC1=CC=CC=C1)=O)C(=O)O,1.214
131,O=S(=O)(N(C=1C=CC(C)=CC=1)CC(NCC2OCCC2)=O)C=3C=CC(SC)=CC=3,5.816
132,C(CCSCCNCCC1=C2C(=C(O)C=C1)NC(=O)S2)OCCC3=CC=CC=C3,4.289
133,C1=CC=C2N(CC(N(C3=C(C=CC=C3CC)C)C(COC)C)=O)C(C(O)C)=NC2=C1,5.928
134,C1C2(OC3C4(OO2)C(CCC(C)C4C1)C(C)C(OC(=O)OC=5C=CC=CC=5)O3)C,5.82
135,CC(C)(C)C(OC(N1C=CN=C1)=O)COC2=CC=C(C=C2)I,5.448
136,C1=CC(=CC=C1)CC(NC(CNC(C(CC=2C=CC(=CC=2)O)N)=O)=O)C(O)=O,-0.318
137,C1CC(CCN1CC(O)C2OC=3C(OC2)=CC=CC=3)N4C(=O)NC5=CC=CC=C45,4.512
138,C12(C(CCC1(C(=O)COC(=O)CC)O)C3C(C(O)C2)C4(CCC(CC4=CC3)=O)C)C,4.391
139,C=12C(C=3C=CC(=CC=3)NC(=O)C)C(C(OC=1N(C4=CC=CC(Cl)=C4)N=C2C)=N)C#N,6.289
140,C1OS(=O)(=O)OCC2C3(C(=C(C(C12)(Cl)C3(Cl)Cl)Cl)Cl)Cl,4.703
141,C1CC(CCN1CCN2C(=O)N(N=N2)CC)(COC)N(C(CC)=O)C3=CC=CC=C3,3.509
142,C1=CC(=CC=C1)CC(C(=O)N)NC(C(NC(C(CC(=O)O)NC(C)=O)=O)C(CC)C)=O,1.673
143,C1=CC(=CC=C1)CC(NC(C(NC(C(N)C)=O)CC=2C=CC(=CC=2)O)=O)C(O)=O,1.227
144,ClC1(Cl)C2(CC(CBr)C1(C(Cl)=C2Cl)Cl)Cl,7.642
145,C(CC(C1CCC2C1(C(O)CC3C4(C(CC(O)CC4)CCC23)C)C)C)C(=O)O,5.257
146,N1C(=N)NC=C(C1=N)CC2=C(I)C(OC)=C(OC)C(=C2)OC,3.211
147,C1=CC(CN2C(=O)N(C(=O)C(=C2N)C(=O)CN3CCSC=4C3=CC=CC=4)C)=CC=C1,6.228
148,N1C(N(C=C(F)C1=O)C2CC(OC(=O)CCC)C(COC(=O)CCC)O2)=O,4.324
149,O=S(=O)(NC=1C=C(N2N=C(N(C2=O)C(F)F)C)C(=CC=1Cl)Cl)C,2.186
150,ClC=1C(=CC=C(Cl)C=1Cl)OC=2C(Cl)=C(C=C(Cl)C=2Cl)Cl,7.756
151,N1=C(CCN2C(C)=C(Br)C(C)=N2)N(CC)C(SCC(NCC=C)=O)=N1,5.233
152,CC(C)(C(=O)OC1C2C(C(C=CC2=CC(C)C1)C)CCC3CC(CC(=O)O3)O)CC,6.121
153,O=C1SC=2C(=C(C=CC=2CCNCCNCCCOCCC3=CC=CC=C3)O)N1,2.297
154,C(Br)C(CBr)(CBr)CBr,5.171
155,FC(F)(F)C=1C(=C(C=C(C=1)[N+](=O)[O-])[N+]([O-])=O)N=C2C(C#N)=CC=3C(=CC=CC=3)N2,5.273
156,OC1(C(=O)CO)C(CC2C3C(C(CC12C)O)(F)C4(C=CC(C=C4CC3)=O)C)O,2.429
157,FC(F)(F)C1=CC=C(C(=C1)Cl)OC2=CC=C(C(=C2)OC(C)C(=O)OC=C)[N+](=O)[O-],6.521
158,FC(F)(F)C1=CC(=NC2=CC(=NN12)C=3OC(=NN=3)C=4C=C(C(F)(F)F)C=CC=4)C,5.888
159,NC(N)=NCCCC(C(NC(CC1=CC=CC=C1)C(NC(CC(C)C)C(O)=O)=O)=O)N,0.595
160,C1(=CC=CC=C1)C=2C3=CC(Cl)=CC=C3N(C(C(N=2)OC(=O)C)=O)CCOC(=O)C,3.943
161,C(Cl)C(CCl)OP(OC(CCl)CCl)(OC(CCl)CCl)=O,5.244
162,CC(C)CC(C(O)=O)NC(C(CC1=CNC=N1)NC(=O)C(CC=2C=CC=CC=2)N)=O,2.233
163,C1=CC=CC(C(=O)OC2C(=O)N(C(=C2OC(C3=CC=CC=C3)=O)O)CC(OCC)=O)=C1,6.303
164,FC(F)(F)C=1C(N=C2NC(=C(C=C2C#N)C#N)C)=C(C=C([N+](=O)[O-])C=1)[N+]([O-])=O,4.153
165,O=S(=O)(C=1C(C(=O)N(C)C)=CC=CN=1)NC(N=C2N=C(C=C(N2)OC)OC)=O,1.248
166,C1(=COC(=O)N)C2=C(C(=C(C)C(=C2N3C1(OC)C4C(C3)N4)O)NC5=CC=CC=C5)O,2.162
167,FC(F)(F)C=1C(=CC2=C(C=1)NC(CC3=CC=CC=C3)NS2(=O)=O)S(=O)(=O)N,3.51
168,C1N(C=2C(F)=CC=3C(=O)C(=CN(C=4C(=CC(=CC=4)F)F)C=3C=2)C(=O)O)CCNC1C,1.414
169,COCCOCC1COC(CN2N=CN=C2)(C=3C(=CC(Cl)=CC=3)Cl)O1,4.248
170,O(C)C(C(=COC)C1=CC=CC=C1OC=2N=CN=C(C=2)OC=3C(C#N)=CC=CC=3)=O,3.773
171,C1(C=C2C(=CC1=N)N(C=3C(N2)=CC=CC=3)C=4C=CC(=CC=4)Cl)=NC=5C=CC(Cl)=CC=5,8.036
172,CN(C)CC1CCCCC1OC(NC2=CC=CC=C2OCCCCCCC)=O,7.773
173,C(C(=O)O)N(CC(=O)O)CC(=O)NC1=CC=C(C(=C1)Br)C(C)C,1.216
174,C1=CC(C)C(C2C1=CCCC2OC(=O)C(CC)C)CCC3OC(=O)CC(O)C3,5.387
175,FC(F)(F)C1=CNC(=NC=2C(=CC([N+](=O)[O-])=CC=2C(F)F)[N+]([O-])=O)C(Cl)=C1,4.715
176,C1(=C(C2(Cl)C3COS(OCC3C1(Cl)C2(Cl)Cl)=O)Cl)Cl,5.63
177,NC(N)NCCCC(=NC(C(N)CC(C)C)=O)C(=O)NC(CC=1C=CC=CC=1)C(=O)O,2.009
178,CN(C)C(N(C)C)=S(I)C=1C(=CC(OC)=CC=1)[N+](=O)[O-],1.254
179,C1=NC2=C(N=CN2C3C(C4OP(=O)(OCC5=CC=CC=C5)OCC4O3)O)C(N1)=N,2.636
180,OC1=C2CC=CCC2C(N1CC(C3=C(C)N(C(C)=C3)CC=4C=C5C(=CC=4)OCO5)=O)=O,5.941
181,ClC1=C(C(=C(Cl)C(Cl)=C1Cl)Cl)OC=2C(Cl)=CC(Cl)=CC=2,8.69
182,FC(F)C1=CC(=NC2=C(C(N3CCSCC3)=O)C=NN12)C4=CC=C(C=C4)C,5.99
183,C1CN(CCN1CCCN2C3=CC=CC=C3SC=4C2=CC(SCC)=CC=4)C,7.074
184,C1=C(OC)C=C(C(=C1)OCCF)CN(C(C)=O)C=2C(=CC=C(C=2)F)OC3=CC=CC=C3,5.078
185,ClC(Cl)C12C(Cl)C(Cl)C(C(C1Cl)Cl)C2(C)C(Cl)Cl,7.184
186,N1=CN(C(=C1)CC(C(CC)C(OCCC2=CC=CC=C2)=O)COC(C3=CC=CC=C3)=O)C,5.702
187,CC(C)(C)C1=CC(C(F)(F)F)=NC(SCCNC(=O)C2CCCCC2)=N1,7.385
188,CC(C)CC=1C(C(=O)OCC)=C(N=CC2=C(C)NN(C3=CC=CC=C3)C2=O)SC=1,6.415
189,CC(C)(C)NC(C1(C(CC2C3C(C(CC12C)O)(C4(C(CC(=O)C=C4)=CC3)C)F)C)O)=O,4.523
190,CN(C)C(N(C)C)=S(I)C=1C(=CC(Cl)=CC=1)[N+](=O)[O-],1.135
191,C1(CCCC(C)N1C(=O)CSC=2N(CC=3C=CC=CC=3)C(C4=CC=CO4)=NN=2)C,5.653
192,C(OC(=O)C1C(C)=NC(=O)CC1C=2C(Br)=CC(=C(C=2)OC)OC)C,5.53
193,C(C)CC(=O)OCC1OC(N2C=C(C(NC2=O)=O)I)C1O,2.168
194,C(NC(C(CCCN(C(NC)=O)CC=1C=CC=CC=1)NC(=O)C)=O)C2=CC=CC=C2,3.38
195,NC(N)=NCCCC(C(NC(C(C)CC)C(=O)NC(CC=1C=CC=CC=1)C(O)=O)=O)N,1.352
196,C1CC(CCC1)N2N=C3C=C(NC(=O)C=4C=C(C(=C(OC)C=4)OC)OC)C=CC3=N2,5.951
197,O=S(=O)(C1=CC=2S(=O)(=O)NC(CC3=CC=CC=C3)NC=2C=C1Cl)N,2.042
198,N1(C)C(=O)C(C(N(C)C1=O)=O)C=NC2=C(C=3CCC(CC)CC=3S2)C(=O)OCC,7.044
199,C=1C2(C)C3(C(CC4(C(C(NCCO)=O)(O)C(C)CC4C3CC=C2CC(=O)C=1)C)O)F,2.627
200,CN(C)C(N(C)C)=S(I)C=1C(Br)=CC=CC=1,0.669
201,C(Br)C(CBr)OC(=O)NC=1C=C(C(OCC)=CC=1)OCC,4.738
202,C1COCCOC2=CC=CC=C2OCCOCCOCCOCCOCCO1,1.46
203,C(NC(C(CC)C)C(NC(C(O)=O)CC1=CC=CC=C1)=O)(=O)C(CCCCN)N,2.081
204,C=1C2(C)C3(C(CC4(C(C(C)CC4C3CC=C2CC(=O)C=1)(OC(=O)CC)C(=O)C)C)O)F,4.865
205,CN(C)C(N(C)C)=S(I)C1=CC=CC(=C1Cl)Cl,1.845
206,C1CN(CCC1O)CCCC=2C(COC3=CC(OC)=C(OC)C(OC)=C3)=CC=CC=2,3.972
207,C1(=CC=C2C(OCO2)=C1)N3C(C(C=C3C)=CC4SC(=S)N(CC)C4=O)=C,3.978
208,C(NC(C(NC(=O)C)CCCCN(C(NC)=O)CC=1C=CC=CC=1)=O)C2=CC=CC=C2,3.505
209,C1(=O)C(NC(C(O)C=2C=CC=CC=2)=O)C3N1C(C(=COC(C)=O)CS3)C(=O)O,1.104
210,CC1(C)CN1P(N2CC2(C)C)(=O)NC(=O)NC3CC(C)(C)N(O)C3(C)C,1.746
211,C1=CC=C(C=C1)C2(C=3C=CC=CC=3)C(NC(N2S(=O)(=O)C4=CC=C(C=C4)Cl)=O)=O,6.106
212,C12C(=O)CC3(C(C1CC=C4CC(=O)CCC24C)CCC3(OC(C)=O)C(CO)=O)C,3.597
213,C(C1C(C=CC=2C1C(CCC=2)OC(=O)C(CC)C)C)CC(O)CC(O)CC(=O)O,4.989
214,FC(F)(F)OC=1C=CC(N2N=NN=C2SCC(=O)NC=3C(=CC=CC=3C)C)=CC=1,7.838
215,C=1C2(C)C3(C(CC4(C(CC(C4(O)C(COC(C)=O)=O)C)C3CC=C2CC(=O)C=1)C)O)F,4.21
216,FC(F)(F)C1=CC(=CC([N+](=O)[O-])=C1N=C2NC=C(C=C2Cl)Cl)[N+](=O)[O-],5.178
217,O=C(C1=C(OCC(C2=CC=C(C)C=C2)=O)N(C)N=C1C)C3=CC=C(C(=C3Cl)C)Cl,6.184
218,CN(C)C(N(C)C)=S(C=1C=C(C(C)=CC=1)Cl)I,1.747
219,ClC1=C(OC2=CC=C(Cl)C(=C2)Cl)C(=C(Cl)C(Cl)=C1Cl)Cl,8.779
220,S1C(=NC=2C1=CC=CC=2)C=3C(OC=4C(=CC=C(OC(C5=CC=CC=C5)=O)C=4)C=3)=O,7.152
221,C(C)CCC(OCC1C(OC(CCCC)=O)CC(N2C=C(F)C(=O)NC2=O)O1)=O,3.865
222,CC(C)C(C(O)=O)NC(C(NC(C(N)C(CC)C)=O)CC1=CC=C(C=C1)O)=O,-0.736
223,O=S(=O)(N1CCCCCC1)C=2C=CC(=CC=2)NC(C=3OC4=C(C=C(C=C4)F)C=3C)=O,7.343
224,COP(OC)(=S)OC1=CC(=C(I)C=C1Cl)Cl,6.778
225,C1CN(CCN1C(=O)C2=CC=CS2)C=3C=CC(NC(C=CC=4C=CC=CC=4)=O)=CC=3,5.895
